,Book Name,Author,Link,Publisher,Date of Publish,ISBN,Pages
1,Pride and Prejudice,Jane Austen ,/books/183689/pride-and-prejudice/9780141199078.html,Imprint: Penguin Classics,Published: 06/12/2012,ISBN: 9780141199078,Length: 416  Pages
2,To Kill A Mockingbird,Harper Lee ,/books/1088099/to-kill-a-mockingbird/9781784752637.html,Imprint: Arrow,Published: 04/06/2015,ISBN: 9781784752637,Length: 320  Pages
3,The Great Gatsby,F. Scott Fitzgerald ,/books/56606/the-great-gatsby/9780141182636.html,Imprint: Penguin Classics,Published: 24/02/2000,ISBN: 9780141182636,Length: 240  Pages
4,One Hundred Years of Solitude,Gabriel Garcia Marquez ,/books/56215/one-hundred-years-of-solitude/9780241968581.html,Imprint: Penguin,Published: 06/03/2014,ISBN: 9780241968581,Length: 432  Pages
5,In Cold Blood,Truman Capote ,/books/57020/in-cold-blood/9780141182575.html,Imprint: Penguin Classics,Published: 03/02/2000,ISBN: 9780141182575,Length: 320  Pages
6,Wide Sargasso Sea,Jean Rhys ,/books/57281/wide-sargasso-sea/9780241281901.html,Imprint: Penguin Classics,Published: 06/10/2016,ISBN: 9780241281901,Length: 192  Pages
7,Brave New World,Aldous Huxley ,/books/1110001/brave-new-world/9781784870140.html,Imprint: Vintage Classics,Published: 06/11/2014,ISBN: 9781784870140,Length: 288  Pages
8,I Capture the Castle,Dodie Smith ,/books/296874/i-capture-the-castle/9780141371504.html,Imprint: Penguin,Published: 04/08/2016,ISBN: 9780141371504,Length: 544  Pages
9,Jane Eyre,Charlotte Bronte ,/books/60371/jane-eyre/9780141441146.html,Imprint: Penguin Classics,Published: 29/06/2006,ISBN: 9780141441146,Length: 624  Pages
10,Crime and Punishment,Fyodor Dostoyevsky ,/books/35469/crime-and-punishment/9780140449136.html,Imprint: Penguin Classics,Published: 30/01/2003,ISBN: 9780140449136,Length: 720  Pages
11,The Secret History,Donna Tartt ,/books/133251/the-secret-history/9780241982884.html,Imprint: Penguin,Published: 03/08/2017,ISBN: 9780241982884,Length: 640  Pages
12,The Call of the Wild,Jack London ,/books/59518/the-call-of-the-wild/9780141321059.html,Imprint: Puffin Classics,Published: 06/03/2008,ISBN: 9780141321059,Length: 160  Pages
13,The Chrysalids,John Wyndham ,/books/312527/the-chrysalids/9780141181479.html,Imprint: Penguin Classics,Published: 03/02/2000,ISBN: 9780141181479,Length: 208  Pages
14,Persuasion,Jane Austen ,/books/183655/persuasion/9780141198835.html,Imprint: Penguin Classics,Published: 26/04/2012,ISBN: 9780141198835,Length: 272  Pages
15,Moby-Dick,Herman Melville ,/books/62240/moby-dick/9780142437247.html,Imprint: Penguin Classics,Published: 27/02/2003,ISBN: 9780142437247,Length: 720  Pages
16,"The Chronicles Of Narnia: The Lion, The Witch And The Wardrobe",BBC ,/books/1100737/the-chronicles-of-narnia--the-lion--the-witch-and-the-wardrobe/9780563477389.html,Imprint: BBC Physical Audio,Published: 30/11/2000,ISBN: 9780563477389,Length: 115  Minutes
17,To the Lighthouse,Virginia Woolf ,/books/57101/to-the-lighthouse/9780241341681.html,Imprint: Penguin Classics,Published: 07/06/2018,ISBN: 9780241341681,Length: 208  Pages
18,The Death Of The Heart,Elizabeth Bowen ,/books/1033043/the-death-of-the-heart/9780099276456.html,Imprint: Vintage Classics,Published: 14/05/1998,ISBN: 9780099276456,Length: 368  Pages
19,Tess of the D'Urbervilles,Thomas Hardy ,/books/55964/tess-of-the-d-urbervilles/9780141439594.html,Imprint: Penguin Classics,Published: 30/01/2003,ISBN: 9780141439594,Length: 592  Pages
20,Frankenstein,Mary Shelley ,/books/183673/frankenstein/9780141973883.html,Imprint: Penguin,Published: 26/04/2012,ISBN: 9780141973883,Length: 288  Pages
21,The Master and Margarita,Mikhail Bulgakov ,/books/1085640/the-master-and-margarita/9780099540946.html,Imprint: Vintage Classics,Published: 07/01/2010,ISBN: 9780099540946,Length: 464  Pages
22,The Go-between,L. P. Hartley ,/books/57119/the-go-between/9780141187785.html,Imprint: Penguin Classics,Published: 29/01/2004,ISBN: 9780141187785,Length: 336  Pages
23,One Flew Over the Cuckoo's Nest,Ken Kesey ,/books/55626/one-flew-over-the-cuckoo-s-nest/9780141187884.html,Imprint: Penguin Classics,Published: 05/05/2005,ISBN: 9780141187884,Length: 320  Pages
24,Nineteen Eighty-Four,George Orwell ,/books/57013/nineteen-eighty-four/9780141187761.html,Imprint: Penguin Classics,Published: 29/01/2004,ISBN: 9780141187761,Length: 400  Pages
25,Buddenbrooks,Thomas Mann ,/books/1047773/buddenbrooks/9780749386474.html,Imprint: Vintage Classics,Published: 29/07/1996,ISBN: 9780749386474,Length: 864  Pages
26,The Grapes of Wrath,John Steinbeck ,/books/26143/the-grapes-of-wrath/9780141185064.html,Imprint: Penguin Classics,Published: 07/09/2000,ISBN: 9780141185064,Length: 528  Pages
27,Beloved,Toni Morrison ,/books/1032964/beloved/9780099511656.html,Imprint: Vintage Classics,Published: 06/12/2007,ISBN: 9780099511656,Length: 352  Pages
28,The Code of the Woosters,P.G. Wodehouse ,/books/1074175/the-code-of-the-woosters/9781787461048.html,Imprint: Arrow,Published: 28/06/2018,ISBN: 9781787461048,Length: 304  Pages
29,Dracula,Bram Stoker ,/books/55632/dracula/9780141439846.html,Imprint: Penguin Classics,Published: 27/03/2003,ISBN: 9780141439846,Length: 512  Pages
30,The Lord Of The Rings: The Trilogy,J.R.R. Tolkien ,/books/1101146/the-lord-of-the-rings--the-trilogy/9780563528883.html,Imprint: BBC Physical Audio,Published: 07/10/2002,ISBN: 9780563528883,Length: 795  Minutes
31,The Adventures of Huckleberry Finn,Mark Twain ,/books/276485/the-adventures-of-huckleberry-finn/9780143107323.html,Imprint: Penguin Classics,Published: 27/11/2014,ISBN: 9780143107323,Length: 368  Pages
32,Great Expectations,Charles Dickens ,/books/60338/great-expectations/9780141439563.html,Imprint: Penguin Classics,Published: 30/01/2003,ISBN: 9780141439563,Length: 544  Pages
33,Catch-22,Joseph Heller ,/books/1036341/catch-22/9780099470465.html,Imprint: Vintage Classics,Published: 05/02/2004,ISBN: 9780099470465,Length: 544  Pages
